cf_id,company_name,outcome,backers_count,country,goal,pledged,launch_date,category,subcategory,first_name,last_name,email
1345,"Johnson, Parker and Haynes",successful,1606,CH,45900.0,150965.0,2020-11-06 06:00:00,film & video,shorts,Marina,Madrid,marina.madrid@galarza-alba.com
2303,Clark-Cooke,successful,129,US,9000.0,14455.0,2020-10-28 05:00:00,film & video,animation,Sheila,Goodwin,sheila.goodwin@yahoo.com
2224,Schroeder Ltd,successful,226,GB,3500.0,10850.0,2020-11-25 06:00:00,games,video games,Valeria,Rich,valeria.rich@turchetta-mondadori.it
1173,Jackson PLC,failed,2307,IT,101000.0,87676.0,2021-02-21 06:00:00,film & video,documentary,Dustin,Camacho,dustin.camacho@rhodes.org.au
210,"Blair, Collins and Carter",successful,5419,US,50200.0,189666.0,2021-04-04 05:00:00,theater,plays,Amalia,Marenzio,amalia.marenzio@grupo.com
1546,Maldonado and Sons,successful,165,US,9300.0,14025.0,2021-01-26 06:00:00,film & video,documentary,Gian,Long,gian.long@hotmail.com
2871,Mitchell and Sons,successful,1965,DK,125500.0,188628.0,2021-03-16 05:00:00,film & video,drama,Stewart,Hunt,stewart.hunt@anderson-vargas.biz
2034,Jackson-Lewis,successful,16,US,700.0,1101.0,2021-04-07 05:00:00,theater,plays,Greca,Ruiz,greca.ruiz@carr.co.uk
2677,"Black, Armstrong and Anderson",successful,107,US,8100.0,11339.0,2020-11-20 06:00:00,publishing,fiction,Gerald,Olivera,gerald.olivera@outlook.com
1865,Maldonado-Gonzalez,successful,134,US,3100.0,10085.0,2021-08-23 05:00:00,photography,photography books,Jaqueline,Wallace,jaqueline.wallace@gmail.com
170,Kim-Rice,failed,88,DK,9900.0,5027.0,2021-04-14 05:00:00,theater,plays,John,Lane,john.lane@gregoire.fr
462,"Garcia, Garcia and Lopez",successful,198,US,8800.0,14878.0,2020-11-18 06:00:00,technology,wearables,Pero,Joly,pero.joly@bernard.net
3122,Watts Group,successful,111,IT,5600.0,11924.0,2021-03-17 05:00:00,music,rock,Chad,Turner,chad.turner@gmail.com
1175,Werner-Bryant,successful,222,US,1800.0,7991.0,2020-06-20 05:00:00,food,food trucks,Adam,Zavala,adam.zavala@guichard.fr
2301,Schmitt-Mendoza,successful,6212,US,90200.0,167717.0,2020-11-14 06:00:00,publishing,radio & podcasts,Tyler,Rivera,tyler.rivera@guajardo-ozuna.com
91,Reid-Mccullough,successful,98,DK,1600.0,10541.0,2020-11-25 06:00:00,publishing,fiction,Jens,Graham,jens.graham@jones-buckley.com
87,Woods-Clark,failed,48,US,9500.0,4530.0,2021-01-18 06:00:00,theater,plays,Virginia,Caetani,virginia.caetani@sosa.biz
1482,"Vaughn, Hunt and Caldwell",successful,92,US,3700.0,4247.0,2021-05-23 05:00:00,music,rock,Martino,Wagner,martino.wagner@laposte.net
1711,Bennett and Sons,successful,149,US,1500.0,7129.0,2020-12-18 06:00:00,theater,plays,Martin,Meyer,martin.meyer@davis.co.uk
2294,Lamb Inc,successful,2431,US,33300.0,128862.0,2021-02-22 06:00:00,theater,plays,Marguerite,Walls,marguerite.walls@martinez.fr
2389,Casey-Kelly,successful,303,US,7200.0,13653.0,2021-01-25 06:00:00,music,rock,Peter,Vogt,peter.vogt@yahoo.com
378,"Jones, Taylor and Moore",failed,1,IT,100.0,2.0,2021-10-08 05:00:00,music,metal,Nicholas,Christian,nicholas.christian@hotmail.de
1213,"Bradshaw, Gill and Donovan",failed,1467,GB,158100.0,145243.0,2020-09-07 05:00:00,technology,wearables,Susi,Steinberg,susi.steinberg@preiss.com
29,"Hernandez, Rodriguez and Clark",failed,75,US,7200.0,2459.0,2021-03-12 06:00:00,theater,plays,Tammy,Ramazzotti,tammy.ramazzotti@gmail.com
2309,Smith-Jones,successful,209,US,8800.0,12356.0,2021-10-14 05:00:00,film & video,drama,Abdul,Thomas,abdul.thomas@vasari.com
2101,Roy PLC,failed,120,US,6000.0,5392.0,2021-03-30 05:00:00,technology,wearables,Justin,Luxardo,justin.luxardo@googlemail.com
1057,"Wright, Brooks and Villarreal",successful,131,US,6600.0,11746.0,2021-09-29 05:00:00,music,jazz,Antonio,Gibson,antonio.gibson@faust.net
2655,"Flores, Miller and Johnson",successful,164,US,8000.0,11493.0,2021-03-03 06:00:00,technology,wearables,Jeremy,Gomez,jeremy.gomez@oconnor.org
202,"Bridges, Freeman and Kim",successful,201,US,2900.0,6243.0,2021-07-23 05:00:00,games,video games,Raymond,Solorzano,raymond.solorzano@gmail.com
2025,Anderson-Perez,successful,211,US,2700.0,6132.0,2021-02-09 06:00:00,theater,plays,Flora,Harris,flora.harris@hotmail.com.au
2395,"Wright, Fox and Marks",successful,128,US,1400.0,3851.0,2020-12-10 06:00:00,theater,plays,Cheryl,Boyd,cheryl.boyd@segni.it
1418,Crawford-Peters,successful,1600,CA,94200.0,135997.0,2020-10-20 05:00:00,theater,plays,Rhys,Leiva,rhys.leiva@gmx.de
1905,Romero-Hoffman,failed,2253,CA,199200.0,184750.0,2021-06-15 05:00:00,theater,plays,Mariano,Prieto,mariano.prieto@vodafone.it
1969,Sparks-West,successful,249,US,2000.0,14452.0,2021-08-19 05:00:00,technology,web,Laurie,Fibonacci,laurie.fibonacci@gmail.com
2430,"Baker, Morgan and Brown",failed,5,US,4700.0,557.0,2021-06-25 05:00:00,theater,plays,David,Rudolph,david.rudolph@nelson.com
1291,Mosley-Gilbert,failed,38,US,2800.0,2734.0,2021-05-21 05:00:00,technology,web,Bryan,Ross,bryan.ross@yahoo.com
1934,Berry-Boyer,successful,236,US,6100.0,14405.0,2021-02-23 06:00:00,theater,plays,Ubaldo,Brown,ubaldo.brown@philippe.com
1225,Sanders-Allen,failed,12,US,2900.0,1307.0,2021-10-05 05:00:00,theater,plays,Clelia,Faulkner,clelia.faulkner@hotmail.com
1363,Lopez Inc,successful,4065,GB,72600.0,117892.0,2020-11-03 06:00:00,technology,wearables,Sara,Erickson,sara.erickson@yahoo.de
963,Moreno-Turner,successful,246,IT,5700.0,14508.0,2020-08-10 05:00:00,theater,plays,Rupert,Valle,rupert.valle@filogamo.it
1486,Jones-Watson,canceled,17,US,7900.0,1901.0,2021-06-27 05:00:00,theater,plays,Puccio,Kitzmann,puccio.kitzmann@yahoo.com
676,Barker Inc,successful,2475,IT,128000.0,158389.0,2021-08-08 05:00:00,theater,plays,Thomas,Hutchinson,thomas.hutchinson@gmx.de
2137,"Tate, Bass and House",successful,76,US,6000.0,6484.0,2021-03-19 05:00:00,theater,plays,Abelardo,Castro,abelardo.castro@gmail.com
2656,"Hampton, Lewis and Ray",successful,54,US,600.0,4022.0,2021-07-27 05:00:00,film & video,animation,Greco,Walker,greco.walker@yahoo.com
1556,Collins-Goodman,successful,88,US,1400.0,9253.0,2020-05-11 05:00:00,music,jazz,Miranda,Lacombe,miranda.lacombe@longoria-vanegas.net
747,Davis-Michael,successful,85,GB,3900.0,4776.0,2021-06-29 05:00:00,music,metal,Diana,Schuchhardt,diana.schuchhardt@libero.it
60,"White, Torres and Bishop",successful,170,US,9700.0,14606.0,2021-02-25 06:00:00,photography,photography books,Stacey,Knox,stacey.knox@corporacin.com
2459,"Martin, Conway and Larsen",failed,1684,US,122900.0,95993.0,2020-12-13 06:00:00,theater,plays,Glen,Faivre,glen.faivre@yahoo.com
1903,Acevedo-Huffman,failed,56,US,9500.0,4460.0,2021-06-17 05:00:00,film & video,animation,Andrew,Torres,andrew.torres@ruiz-torres.org
2003,"Montgomery, Larson and Spencer",successful,330,US,4500.0,13536.0,2020-12-24 06:00:00,publishing,translations,Denny,Fritz,denny.fritz@despacho.biz
2885,Soto LLC,failed,838,US,57800.0,40228.0,2021-06-13 05:00:00,theater,plays,Martyn,Caldera,martyn.caldera@hotmail.co.uk
2067,"Sutton, Barrett and Tucker",successful,127,US,1100.0,7012.0,2021-06-26 05:00:00,games,video games,Abigail,Foster,abigail.foster@taylor.net
1610,"Gomez, Bailey and Flores",successful,411,US,16800.0,37857.0,2020-11-01 05:00:00,music,rock,Anthony,Hauffer,anthony.hauffer@tlustek.org
2909,Porter-George,successful,180,GB,1000.0,14973.0,2020-10-09 05:00:00,games,video games,Roger,Gerlach,roger.gerlach@may-mitchell.co.uk
1239,Fitzgerald PLC,failed,1000,US,106400.0,39996.0,2021-06-25 05:00:00,music,electric music,Christopher,Poirier,christopher.poirier@hotmail.com
2480,Cisneros-Burton,successful,374,US,31400.0,41564.0,2021-07-03 05:00:00,technology,wearables,Branka,Traore,branka.traore@jacobi.com
2181,"Hill, Lawson and Wilkinson",successful,71,AU,4900.0,6430.0,2021-05-29 05:00:00,music,indie rock,Briana,Etienne,briana.etienne@bishop-coates.com
2030,Davis-Smith,successful,203,US,7400.0,12405.0,2021-05-16 05:00:00,theater,plays,Brandon,Olson,brandon.olson@prince-moreno.net
2311,Farrell and Sons,failed,1482,AU,198500.0,123040.0,2020-08-23 05:00:00,music,rock,Celia,Ungaretti,celia.ungaretti@fox.com
2821,Clark Group,successful,113,US,4800.0,12516.0,2020-07-21 05:00:00,publishing,translations,Barbara,Guibert,barbara.guibert@casares-sanches.com
2468,"White, Singleton and Zimmerman",successful,96,US,3400.0,8588.0,2020-07-23 05:00:00,theater,plays,Daniela,Bell,daniela.bell@vollbrecht.org
656,Kramer Group,failed,106,US,7800.0,6132.0,2021-10-09 05:00:00,theater,plays,Phyllis,Gurule,phyllis.gurule@rodriguez-pham.com
2791,"Frazier, Patrick and Smith",failed,679,IT,154300.0,74688.0,2020-07-03 05:00:00,publishing,translations,Alejandra,Joseph,alejandra.joseph@escalante-abrego.biz
1527,"Santos, Bell and Lloyd",successful,498,CH,20000.0,51775.0,2020-08-05 05:00:00,games,video games,Giulio,Bohlander,giulio.bohlander@dbmail.com
1891,Hall and Sons,canceled,610,US,108800.0,65877.0,2020-11-22 06:00:00,theater,plays,Amber,Weller,amber.weller@toso.eu
580,Hanson Inc,successful,180,GB,2900.0,8807.0,2021-03-14 06:00:00,technology,web,Mary,Etzold,mary.etzold@conrad-harrison.com
682,Sanchez LLC,successful,27,US,900.0,1017.0,2021-08-06 05:00:00,film & video,documentary,Amy,Georges,amy.georges@raedel.de
3097,Howard Ltd,successful,2331,US,69700.0,151513.0,2021-10-18 05:00:00,theater,plays,Jennifer,Giraud,jennifer.giraud@yahoo.com
873,Stewart LLC,successful,113,US,1300.0,12047.0,2020-11-29 06:00:00,food,food trucks,Rosie,Peltier,rosie.peltier@voila.fr
1668,"Arias, Allen and Miller",failed,1220,AU,97800.0,32951.0,2021-02-14 06:00:00,games,video games,Oreste,Ward,oreste.ward@proyectos.com
3076,Baker-Morris,successful,164,US,7600.0,14951.0,2020-08-23 05:00:00,theater,plays,Luis,Edwards,luis.edwards@live.com
3146,"Tucker, Fox and Green",failed,1,US,100.0,1.0,2021-06-22 05:00:00,theater,plays,Fiona,Griffiths,fiona.griffiths@curatoli-verdone.it
253,Douglas LLC,successful,164,US,900.0,9193.0,2021-10-06 05:00:00,music,electric music,Sally,Raya,sally.raya@tarchetti.it
3088,Garcia Inc,successful,336,US,3700.0,10422.0,2020-09-18 05:00:00,technology,wearables,Carolyn,Charpentier,carolyn.charpentier@hotmail.de
393,"Frye, Hunt and Powell",failed,37,IT,10000.0,2461.0,2021-05-10 05:00:00,music,electric music,Nathalie,Alvarez,nathalie.alvarez@live.com
2912,"Smith, Wells and Nguyen",successful,1917,US,119200.0,170623.0,2021-07-09 05:00:00,music,indie rock,Abril,Lowery,abril.lowery@novak.net
478,Charles-Johnson,successful,95,US,6800.0,9829.0,2020-10-08 05:00:00,technology,web,Ottone,Sullivan,ottone.sullivan@hussain-kaur.com
1061,"Brandt, Carter and Wood",successful,147,US,3900.0,14006.0,2021-03-05 06:00:00,theater,plays,Esmeralda,Sollima,esmeralda.sollima@visintini.it
2957,"Tucker, Schmidt and Reid",successful,86,US,3500.0,6527.0,2021-05-07 05:00:00,theater,plays,Silvia,Gierschner,silvia.gierschner@tele2.it
2015,Decker Inc,successful,83,US,1500.0,8929.0,2020-10-14 05:00:00,film & video,documentary,Kyle,Cunningham,kyle.cunningham@voila.fr
1179,Romero and Sons,failed,60,US,5200.0,3079.0,2020-10-01 05:00:00,film & video,television,Anel,Carpentier,anel.carpentier@klein-joseph.org
2568,Castillo-Carey,failed,296,US,142400.0,21307.0,2020-05-05 05:00:00,food,food trucks,Sarah,Davis,sarah.davis@david.com
2869,Hart-Briggs,successful,676,US,61400.0,73653.0,2021-03-17 05:00:00,publishing,radio & podcasts,Luke,Klein,luke.klein@hotmail.com
718,Jones-Meyer,successful,361,AU,4700.0,12635.0,2020-10-24 05:00:00,technology,web,Gudrun,Mueller,gudrun.mueller@dillon-fuller.info
1211,"Wright, Hartman and Yu",successful,131,US,3300.0,12437.0,2021-01-29 06:00:00,food,food trucks,Melissa,Canali,melissa.canali@libero.it
2431,Harper-Davis,successful,126,US,1900.0,13816.0,2021-07-02 05:00:00,technology,wearables,Gabrielle,Ayala,gabrielle.ayala@hotmail.com
468,Barrett PLC,failed,3304,IT,166700.0,145382.0,2021-03-20 05:00:00,publishing,fiction,Laura,Buckley,laura.buckley@ryan.org
1862,David-Clark,failed,73,US,7200.0,6336.0,2021-09-02 05:00:00,theater,plays,Wilfrido,Lorch,wilfrido.lorch@leclerc.fr
2300,Chaney-Dennis,successful,275,US,4900.0,8523.0,2021-06-18 05:00:00,film & video,television,Robert,Bruder,robert.bruder@manzoni.com
449,"Robinson, Lopez and Christensen",successful,67,US,5400.0,6351.0,2020-10-07 05:00:00,photography,photography books,Phillip,Soliz,phillip.soliz@outlook.com
283,Clark and Sons,successful,154,US,5000.0,10748.0,2021-07-27 05:00:00,film & video,documentary,Alex,Smith,alex.smith@fournier.fr
2484,Vega Group,successful,1782,US,75100.0,112272.0,2021-04-15 05:00:00,games,mobile games,Jessica,Martinez,jessica.martinez@salieri.com
1490,Brown-Brown,successful,903,US,45300.0,99361.0,2020-06-21 05:00:00,games,video games,Kelly,Carter,kelly.carter@hotmail.com.au
186,Taylor PLC,failed,3387,US,136800.0,88055.0,2020-05-21 05:00:00,publishing,fiction,Ahmad,Sosa,ahmad.sosa@gmail.com
2999,Edwards-Lewis,failed,662,CA,177700.0,33092.0,2022-01-15 06:00:00,theater,plays,Toralf,Iglesias,toralf.iglesias@borrego.com
2819,"Stanton, Neal and Rodriguez",successful,94,IT,2600.0,9562.0,2020-07-19 05:00:00,photography,photography books,Irene,Anichini,irene.anichini@yahoo.com
2105,Pratt LLC,successful,180,US,5300.0,8475.0,2020-05-10 05:00:00,theater,plays,Alicia,Cainero,alicia.cainero@yahoo.com
1324,Gross PLC,failed,774,US,180200.0,69617.0,2020-03-24 05:00:00,theater,plays,Tracey,Laboy,tracey.laboy@bell.biz
1952,"Martinez, Gomez and Dalton",failed,672,CA,103200.0,53067.0,2021-03-03 06:00:00,theater,plays,Donald,Reynaud,donald.reynaud@green.edu.au
2404,Allen-Curtis,canceled,532,US,70600.0,42596.0,2020-09-13 05:00:00,music,rock,Venancio,Stadelmann,venancio.stadelmann@gmx.de
990,Morgan-Martinez,canceled,55,AU,148500.0,4756.0,2021-03-23 05:00:00,food,food trucks,Seth,Olivier,seth.olivier@yahoo.com
1459,"Luna, Anderson and Fox",successful,533,DK,9600.0,14925.0,2020-10-10 05:00:00,film & video,drama,Dennis,Boaga,dennis.boaga@gmx.de
1106,"Fleming, Zhang and Henderson",successful,2443,GB,164700.0,166116.0,2021-07-17 05:00:00,technology,web,Pedro,Wilson,pedro.wilson@outlook.com
1488,Flowers and Sons,successful,89,US,3300.0,3834.0,2020-10-20 05:00:00,theater,plays,Roland,Weihmann,roland.weihmann@gmail.com
2107,Gates PLC,successful,159,US,4500.0,13985.0,2020-07-09 05:00:00,music,world music,Hector,Morrison,hector.morrison@web.de
2660,Caldwell LLC,failed,940,CH,99500.0,89288.0,2021-07-23 05:00:00,film & video,documentary,Evangelos,Peters,evangelos.peters@sanchez.net
2647,"Le, Burton and Evans",failed,117,US,7700.0,5488.0,2020-12-25 06:00:00,theater,plays,Gerardo,Hamilton,gerardo.hamilton@libero.it
565,Briggs PLC,canceled,58,US,82800.0,2721.0,2021-03-23 05:00:00,film & video,drama,Meta,Cuzzocrea,meta.cuzzocrea@howard-jensen.org
2713,Hudson-Nguyen,successful,50,US,1800.0,4712.0,2020-04-07 05:00:00,publishing,nonfiction,Alma,Raymond,alma.raymond@tin.it
558,Hogan Ltd,failed,115,US,9600.0,9216.0,2021-05-10 05:00:00,games,mobile games,Kathleen,Solimena,kathleen.solimena@wallace.biz
698,"Hamilton, Wright and Chavez",failed,326,US,92100.0,19246.0,2021-01-14 06:00:00,technology,wearables,Zacharie,Cordier,zacharie.cordier@gmail.com
321,Bautista-Cross,successful,186,US,5500.0,12274.0,2020-10-18 05:00:00,film & video,documentary,Riza,Techer,riza.techer@yahoo.com
1302,Jackson LLC,successful,1071,US,64300.0,65323.0,2020-05-07 05:00:00,technology,web,Enrique,Guillen,enrique.guillen@hotmail.co.uk
1410,Figueroa Ltd,successful,117,US,5000.0,11502.0,2021-05-26 05:00:00,technology,web,Tristan,Weeks,tristan.weeks@pena.com
2465,Avila-Jones,successful,70,US,5400.0,7322.0,2020-12-03 06:00:00,music,indie rock,Natalie,Lerma,natalie.lerma@boucher.com
377,"Martin, Lopez and Hunter",successful,135,US,9000.0,11619.0,2021-02-07 06:00:00,theater,plays,Rodney,Hamon,rodney.hamon@hotmail.com
1882,Fields-Moore,successful,768,CH,25000.0,59128.0,2021-01-28 06:00:00,technology,wearables,Adalberto,Lombardo,adalberto.lombardo@sfr.fr
822,Harris-Golden,canceled,51,US,8800.0,1518.0,2020-09-15 05:00:00,theater,plays,Florencia,Querini,florencia.querini@gmail.com
2730,"Moss, Norman and Dunlap",successful,199,US,8300.0,9337.0,2021-08-21 05:00:00,theater,plays,Liam,Rolland,liam.rolland@yahoo.fr
2198,"White, Larson and Wright",successful,107,US,9300.0,11255.0,2020-04-19 05:00:00,technology,wearables,Ian,Kelly,ian.kelly@reeves.com.au
2757,"Payne, Oliver and Burch",successful,195,US,6200.0,13632.0,2020-09-08 05:00:00,music,indie rock,Mehdi,Todd,mehdi.todd@web.de
2588,"Brown, Palmer and Pace",failed,1,US,100.0,1.0,2021-01-21 06:00:00,music,rock,Rembrandt,Liguori,rembrandt.liguori@davis.org
1090,Parker LLC,failed,1467,US,137200.0,88037.0,2021-12-02 06:00:00,music,electric music,Irmi,Schweitzer,irmi.schweitzer@ozuna.com
64,"Bowen, Mcdonald and Hall",successful,3376,US,41500.0,175573.0,2020-11-13 06:00:00,music,indie rock,Gioffre,Stein,gioffre.stein@hotmail.com.au
2171,"Whitehead, Bell and Hughes",failed,5681,US,189400.0,176112.0,2021-07-17 05:00:00,theater,plays,Frida,Villarreal,frida.villarreal@hotmail.de
625,Rodriguez-Brown,failed,1059,US,171300.0,100650.0,2021-01-29 06:00:00,music,indie rock,Steffen,Mangold,steffen.mangold@paul.net
1065,Hall-Schaefer,failed,1194,US,139500.0,90706.0,2021-05-23 05:00:00,theater,plays,Elias,Marin,elias.marin@herve.net
174,Meza-Rogers,canceled,379,AU,36400.0,26914.0,2020-11-24 06:00:00,music,rock,Roman,Gonzalez,roman.gonzalez@anderson.net
1344,Curtis-Curtis,failed,30,AU,4200.0,2212.0,2021-04-20 05:00:00,photography,photography books,Reina,Middleton,reina.middleton@hotmail.com
2824,Carlson Inc,successful,41,US,2100.0,4640.0,2020-12-28 06:00:00,music,rock,Sandro,Moran,sandro.moran@hotmail.de
940,"Clarke, Anderson and Lee",successful,1821,US,191200.0,191222.0,2021-05-22 05:00:00,theater,plays,Gebhard,Thanel,gebhard.thanel@gmail.com
3024,Evans Group,successful,164,US,8000.0,12985.0,2021-04-26 05:00:00,technology,wearables,Antonino,Bolander,antonino.bolander@gmail.com
2164,Bruce Group,failed,75,US,5500.0,4300.0,2021-02-01 06:00:00,technology,web,Karl,Trevisani,karl.trevisani@anguissola.it
2427,"Keith, Alvarez and Potter",successful,157,CH,6100.0,9134.0,2021-09-05 05:00:00,music,rock,Silvester,Brookes,silvester.brookes@franco.org
1548,Burton-Watkins,successful,246,US,3500.0,8864.0,2020-08-01 05:00:00,photography,photography books,Octavio,Pratt,octavio.pratt@web.de
2657,Lopez and Sons,successful,1396,US,150500.0,150755.0,2021-11-14 06:00:00,theater,plays,Rebecca,Greer,rebecca.greer@hotmail.com
2916,Cordova Ltd,successful,2506,US,90400.0,110279.0,2021-05-05 05:00:00,technology,web,Pierina,Gaggini,pierina.gaggini@free.fr
1348,Brown-Vang,successful,244,US,9800.0,13439.0,2021-01-11 06:00:00,photography,photography books,Robin,Schleich,robin.schleich@rogers-barrera.biz
557,Cruz-Ward,successful,146,AU,2600.0,10804.0,2021-04-01 05:00:00,theater,plays,Sergio,Abbott,sergio.abbott@moore.net.au
2915,Hernandez Group,failed,955,DK,128100.0,40107.0,2020-05-16 05:00:00,music,indie rock,Gilberto,Evans,gilberto.evans@salcedo-archuleta.net
320,"Tran, Steele and Wilson",successful,1267,US,23300.0,98811.0,2020-07-10 05:00:00,film & video,shorts,James,Elliott,james.elliott@gmail.com
1458,"Summers, Gallegos and Stein",failed,67,US,188100.0,5528.0,2020-09-24 05:00:00,music,indie rock,Timoteo,Bolnbach,timoteo.bolnbach@laboratorios.com
379,Blair Group,failed,5,US,4900.0,521.0,2020-11-17 06:00:00,publishing,translations,Tonino,Stanley,tonino.stanley@hotmail.com
1879,Nixon Inc,failed,26,US,800.0,663.0,2020-09-04 05:00:00,film & video,documentary,Margaretha,Murialdo,margaretha.murialdo@meunier.com
597,White LLC,successful,1561,US,96700.0,157635.0,2021-03-21 05:00:00,theater,plays,Bianca,Drubin,bianca.drubin@libero.it
1130,"Santos, Black and Donovan",successful,48,US,600.0,5368.0,2020-04-15 05:00:00,technology,wearables,Kaylee,Hoffmann,kaylee.hoffmann@poulain.com
2354,"Jones, Contreras and Burnett",failed,1130,US,181200.0,47459.0,2021-01-27 06:00:00,theater,plays,Teresa,Vecellio,teresa.vecellio@yahoo.com
1358,Stone-Orozco,failed,782,US,115000.0,86060.0,2021-01-06 06:00:00,theater,plays,Emine,Tacchini,emine.tacchini@dbmail.com
188,"Lee, Gibson and Morgan",successful,2739,US,38800.0,161593.0,2021-05-02 05:00:00,theater,plays,Dawn,Cortez,dawn.cortez@gmail.com
2228,Alexander-Williams,failed,210,US,7200.0,6927.0,2021-04-17 05:00:00,food,food trucks,Emily,Cundari,emily.cundari@clark.com.au
1743,Marks Ltd,successful,3537,CA,44500.0,159185.0,2020-09-14 05:00:00,theater,plays,Eleanor,Hall,eleanor.hall@hotmail.com
2563,"Olsen, Edwards and Reid",successful,2107,AU,56000.0,172736.0,2020-10-09 05:00:00,technology,wearables,Monique,Delgadillo,monique.delgadillo@hotmail.co.uk
2424,"Daniels, Rose and Tyler",failed,136,US,8600.0,5315.0,2021-03-17 05:00:00,technology,web,Arnaude,Warner,arnaude.warner@gmail.com
2369,Adams Group,successful,3318,DK,27100.0,195750.0,2021-03-09 06:00:00,theater,plays,Jason,Howell,jason.howell@gmx.de
1134,"Rogers, Huerta and Medina",failed,86,CA,5100.0,3525.0,2020-04-16 05:00:00,music,rock,Nicole,Mccullough,nicole.mccullough@hall.com
